State	State Code	Year	Year Code	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
Alabama	1	2018	2018	1064	4887871	21.8	21.8	0.50%
Alabama	1	2019	2019	1076	4903185	21.9	22.2	0.50%
Alabama	1	2020	2020	1141	4921532	23.2	23.6	0.50%
Alabama	1	2021	2021	1315	5039877	26.1	26.4	0.60%
Alabama	1	2022	2022	1278	5074296	25.2	25.5	0.60%
Alabama	1			5874	24826761	23.7	23.9	2.60%
Alaska	2	2018	2018	155	737438	21	21	0.10%
Alaska	2	2019	2019	179	731545	24.5	24.4	0.10%
Alaska	2	2020	2020	175	731158	23.9	23.5	0.10%
Alaska	2	2021	2021	182	732673	24.8	25.2	0.10%
Alaska	2	2022	2022	164	733583	22.4	22.4	0.10%
Alaska	2			855	3666397	23.3	23.3	0.40%
Arizona	4	2018	2018	1147	7171646	16	15.3	0.50%
Arizona	4	2019	2019	1136	7278717	15.6	15.1	0.50%
Arizona	4	2020	2020	1265	7421401	17	16.7	0.60%
Arizona	4	2021	2021	1365	7276316	18.8	18.3	0.60%
Arizona	4	2022	2022	1535	7359197	20.9	20.1	0.70%
Arizona	4			6448	36507277	17.7	17.2	2.90%
Arkansas	5	2018	2018	573	3013825	19	18.9	0.30%
Arkansas	5	2019	2019	580	3017804	19.2	19.3	0.30%
Arkansas	5	2020	2020	673	3030522	22.2	22.6	0.30%
Arkansas	5	2021	2021	698	3025891	23.1	23.3	0.30%
Arkansas	5	2022	2022	666	3045637	21.9	21.9	0.30%
Arkansas	5			3190	15133679	21.1	21.2	1.40%
California	6	2018	2018	3040	39557045	7.7	7.5	1.40%
California	6	2019	2019	2945	39512223	7.5	7.2	1.30%
California	6	2020	2020	3449	39368078	8.8	8.5	1.60%
California	6	2021	2021	3576	39237836	9.1	9	1.60%
California	6	2022	2022	3484	39029342	8.9	8.6	1.60%
California	6			16494	196704524	8.4	8.2	7.40%
Colorado	8	2018	2018	889	5695564	15.6	15.2	0.40%
Colorado	8	2019	2019	846	5758736	14.7	14.2	0.40%
Colorado	8	2020	2020	922	5807719	15.9	15.4	0.40%
Colorado	8	2021	2021	1064	5812069	18.3	17.8	0.50%
Colorado	8	2022	2022	1036	5839926	17.7	17.1	0.50%
Colorado	8			4757	28914014	16.5	15.9	2.10%
Connecticut	9	2018	2018	186	3572665	5.2	4.9	0.10%
Connecticut	9	2019	2019	190	3565287	5.3	5.3	0.10%
Connecticut	9	2020	2020	219	3557006	6.2	6	0.10%
Connecticut	9	2021	2021	248	3605597	6.9	6.7	0.10%
Connecticut	9	2022	2022	252	3626205	6.9	6.9	0.10%
Connecticut	9			1095	17926760	6.1	5.9	0.50%
Delaware	10	2018	2018	107	967171	11.1	11.6	0.00%
Delaware	10	2019	2019	93	973764	9.6	9.9	0.00%
Delaware	10	2020	2020	135	986809	13.7	14.4	0.10%
Delaware	10	2021	2021	158	1003384	15.7	16.6	0.10%
Delaware	10	2022	2022	124	1018396	12.2	11.9	0.10%
Delaware	10			617	4949524	12.5	12.9	0.30%
District of Columbia	11	2018	2018	125	702455	17.8	16.7	0.10%
District of Columbia	11	2019	2019	141	705749	20	18.3	0.10%
District of Columbia	11	2020	2020	167	712816	23.4	21.9	0.10%
District of Columbia	11	2021	2021	185	670050	27.6	24.4	0.10%
District of Columbia	11	2022	2022	154	671803	22.9	21.4	0.10%
District of Columbia	11			772	3462873	22.3	20.5	0.30%
Florida	12	2018	2018	2902	21299325	13.6	12.9	1.30%
Florida	12	2019	2019	2872	21477737	13.4	12.7	1.30%
Florida	12	2020	2020	3041	21733312	14	13.7	1.40%
